m,lambda,empirical_rate,cdf,cramer_rate
64,0.14,0.038488783651427154,0.085155,0.01273205149629128
64,0.14666666666666667,0.038488783651427154,0.085155,0.0115436457869664
64,0.15333333333333332,0.03719266315029529,0.09252,0.010419883657474122
64,0.15999999999999998,0.031886264899503705,0.129935,0.009359653711835836
64,0.16666666666666663,0.031886264899503705,0.129935,0.00836187432297511
64,0.17333333333333334,0.031390360594238664,0.134125,0.007425492536355549
64,0.18,0.02767442249108445,0.170135,0.006549483025290931
64,0.18666666666666665,0.02767442249108445,0.170135,0.005732847094952365
64,0.1933333333333333,0.026638681255738143,0.181795,0.004974611732304901
64,0.19999999999999996,0.026638681255738143,0.181795,0.004273828699388027
64,0.20666666666666667,0.018570463191758924,0.304675,0.003629573667528724
64,0.21333333333333332,0.017307945849310495,0.330315,0.0030409453902304345
64,0.21999999999999997,0.017307945849310495,0.330315,0.0025070649126319733
64,0.22666666666666663,0.017307945849310495,0.330315,0.002027074815565133
64,0.23333333333333334,0.017307945849310495,0.330315,0.0016001384923597095
64,0.24,0.017307945849310495,0.330315,0.001225439456672972
128,-0.03333333333333334,0.08994473019507991,1e-05,0.0708767621628672
128,-0.026666666666666672,0.08452951784695534,2e-05,0.06748339966034766
128,-0.020000000000000004,0.07911430549883076,4e-05,0.06419950074820646
128,-0.013333333333333336,0.07911430549883076,4e-05,0.061022507127619474
128,-0.006666666666666668,0.07594660934173574,6e-05,0.05794995553105092
128,0.0,0.07369909315070619,8e-05,0.05497947281081711
128,0.006666666666666654,0.06758378581281844,0.000175,0.05210877135419284
128,0.013333333333333336,0.06634766077207707,0.000205,0.04933564479854613
128,0.01999999999999999,0.06579596102821807,0.00022,0.046657964022508214
128,0.026666666666666672,0.06449085099178709,0.00026,0.044073673391465285
128,0.033333333333333326,0.06083775029479356,0.000415,0.04158078723765157
128,0.03999999999999998,0.05680936494062095,0.000695,0.039177386556945304
128,0.04666666666666666,0.05408491341243895,0.000985,0.0368616159060578
128,0.053333333333333316,0.05329357486516472,0.00109,0.03463168048527476
128,0.06,0.05197744578600435,0.00129,0.032485843393184166
128,0.06666666666666665,0.05044280984079625,0.00157,0.030422423041010616
128,0.07333333333333333,0.05010202372770336,0.00164,0.028439790715217017
128,0.07999999999999999,0.04861044035033581,0.001985,0.02653636827798811
128,0.08666666666666667,0.04715985869561498,0.00239,0.02471062599606899
128,0.09333333333333332,0.04539696130792754,0.002995,0.0229610804892052
128,0.09999999999999998,0.04539696130792754,0.002995,0.02128629279013944
128,0.10666666666666666,0.04180206130406442,0.004745,0.01968486650875212
128,0.11333333333333331,0.04082083519381597,0.00538,0.018155446093522154
128,0.12,0.03214410339007112,0.016335,0.016696715184003008
128,0.12666666666666665,0.03214410339007112,0.016335,0.015307395048497957
